,Fungal infection,Allergy,GERD,Chronic cholestasis,Drug Reaction,Peptic ulcer diseae,AIDS,Diabetes ,Gastroenteritis,Bronchial Asthma,Hypertension ,Migraine,Cervical spondylosis,Paralysis (brain hemorrhage),Jaundice,Malaria,Chicken pox,Dengue,Typhoid,hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Alcoholic hepatitis,Tuberculosis,Common Cold,Pneumonia,Dimorphic hemmorhoids(piles),Heart attack,Varicose veins,Hypothyroidism,Hyperthyroidism,Hypoglycemia,Osteoarthristis,Arthritis,(vertigo) Paroymsal  Positional Vertigo,Acne,Urinary tract infection,Psoriasis,Impetigo
13,itching,continuous_sneezing,vomiting,itching,itching,passage_of_gases,muscle_wasting,lethargy,diarrhoea,breathlessness,headache,stiff_neck,loss_of_balance,altered_sensorium,yellowish_skin,diarrhoea,lethargy,skin_rash,high_fever,yellowish_skin,fatigue,loss_of_appetite,nausea,vomiting,fluid_overload,phlegm,congestion,high_fever,bloody_stool,chest_pain,prominent_veins_on_calf,fatigue,weight_loss,anxiety,knee_pain,painful_walking,nausea,scurring,continuous_feel_of_urine,skin_peeling,yellow_crust_ooze
14,skin_rash,shivering,cough,yellowish_skin,skin_rash,internal_itching,patches_in_throat,irregular_sugar_level,vomiting,family_history,chest_pain,depression,back_pain,vomiting,dark_urine,muscle_pain,high_fever,chills,headache,dark_urine,lethargy,yellowing_of_eyes,loss_of_appetite,fatigue,yellowish_skin,chest_pain,chest_pain,breathlessness,irritation_in_anus,vomiting,cramps,weight_gain,restlessness,sweating,hip_joint_pain,muscle_weakness,spinning_movements,skin_rash,burning_micturition,silver_like_dusting,skin_rash
15,nodal_skin_eruptions,chills,chest_pain,nausea,stomach_pain,vomiting,high_fever,blurred_and_distorted_vision,sunken_eyes,mucoid_sputum,loss_of_balance,irritability,neck_pain,headache,abdominal_pain,chills,headache,joint_pain,constipation,nausea,yellowish_skin,family_history,abdominal_pain,high_fever,abdominal_pain,blood_in_sputum,loss_of_smell,sweating,pain_during_bowel_movements,breathlessness,bruising,cold_hands_and_feets,sweating,headache,swelling_joints,swelling_joints,loss_of_balance,pus_filled_pimples,bladder_discomfort,small_dents_in_nails,blister
16,skin_rash,shivering,stomach_pain,loss_of_appetite,spotting_ urination,loss_of_appetite,muscle_wasting,obesity,diarrhoea,fatigue,lack_of_concentration,visual_disturbances,dizziness,altered_sensorium,vomiting,vomiting,loss_of_appetite,vomiting,abdominal_pain,loss_of_appetite,dark_urine,fatigue,yellowing_of_eyes,yellowish_skin,swelling_of_stomach,chills,muscle_pain,malaise,pain_in_anal_region,chest_pain,obesity,mood_swings,diarrhoea,nausea,painful_walking,movement_stiffness,unsteadiness,scurring,continuous_feel_of_urine,inflammatory_nails,red_sore_around_nose
17,nodal_skin_eruptions,chills,acidity,abdominal_pain,itching,abdominal_pain,patches_in_throat,excessive_hunger,vomiting,cough,headache,acidity,loss_of_balance,vomiting,fatigue,high_fever,mild_fever,fatigue,diarrhoea,abdominal_pain,loss_of_appetite,nausea,joint_pain,dark_urine,distention_of_abdomen,vomiting,continuous_sneezing,phlegm,bloody_stool,vomiting,swollen_legs,lethargy,fast_heart_rate,blurred_and_distorted_vision,joint_pain,painful_walking,vomiting,skin_rash,burning_micturition,skin_rash,yellow_crust_ooze
18,dischromic _patches,watering_from_eyes,ulcers_on_tongue,yellowing_of_eyes,skin_rash,passage_of_gases,high_fever,increased_appetite,sunken_eyes,breathlessness,chest_pain,headache,back_pain,headache,weight_loss,sweating,swelled_lymph_nodes,high_fever,toxic_look_(typhos),diarrhoea,abdominal_pain,loss_of_appetite,fatigue,nausea,history_of_alcohol_consumption,fatigue,chills,chest_pain,irritation_in_anus,breathlessness,swollen_blood_vessels,dizziness,excessive_hunger,excessive_hunger,knee_pain,muscle_weakness,nausea,pus_filled_pimples,bladder_discomfort,skin_peeling,skin_rash
19,itching,continuous_sneezing,cough,itching,stomach_pain,internal_itching,extra_marital_contacts,polyuria,dehydration,family_history,dizziness,blurred_and_distorted_vision,weakness_in_limbs,weakness_of_one_body_side,high_fever,headache,malaise,headache,belly_pain,mild_fever,yellow_urine,yellowing_of_eyes,yellowish_skin,loss_of_appetite,fluid_overload,weight_loss,fatigue,fast_heart_rate,constipation,sweating,prominent_veins_on_calf,puffy_face_and_eyes,muscle_weakness,drying_and_tingling_lips,hip_joint_pain,stiff_neck,spinning_movements,blackheads,foul_smell_of urine,silver_like_dusting,blister
20,nodal_skin_eruptions,chills,chest_pain,vomiting,burning_micturition,vomiting,muscle_wasting,weight_loss,vomiting,mucoid_sputum,lack_of_concentration,excessive_hunger,dizziness,vomiting,yellowish_skin,nausea,red_spots_over_body,nausea,chills,yellowing_of_eyes,yellowing_of_eyes,family_history,dark_urine,abdominal_pain,vomiting,cough,cough,rusty_sputum,pain_in_anal_region,vomiting,fatigue,enlarged_thyroid,irritability,slurred_speech,swelling_joints,movement_stiffness,loss_of_balance,skin_rash,burning_micturition,small_dents_in_nails,red_sore_around_nose
21,dischromic _patches,watering_from_eyes,stomach_pain,nausea,skin_rash,indigestion,patches_in_throat,restlessness,sunken_eyes,fatigue,headache,stiff_neck,loss_of_balance,headache,dark_urine,diarrhoea,itching,loss_of_appetite,vomiting,muscle_pain,malaise,fatigue,nausea,yellowing_of_eyes,abdominal_pain,high_fever,high_fever,chills,bloody_stool,breathlessness,bruising,brittle_nails,abnormal_menstruation,irritability,painful_walking,painful_walking,unsteadiness,pus_filled_pimples,bladder_discomfort,inflammatory_nails,yellow_crust_ooze
22,itching,continuous_sneezing,acidity,loss_of_appetite,stomach_pain,abdominal_pain,high_fever,lethargy,dehydration,cough,chest_pain,depression,back_pain,weakness_of_one_body_side,abdominal_pain,muscle_pain,fatigue,pain_behind_the_eyes,fatigue,vomiting,receiving_blood_transfusion,yellowish_skin,loss_of_appetite,acute_liver_failure,swelling_of_stomach,breathlessness,headache,fatigue,irritation_in_anus,sweating,obesity,swollen_extremeties,mood_swings,palpitations,joint_pain,muscle_weakness,vomiting,blackheads,foul_smell_of urine,skin_rash,skin_rash
23,skin_rash,shivering,ulcers_on_tongue,abdominal_pain,burning_micturition,passage_of_gases,extra_marital_contacts,irregular_sugar_level,diarrhoea,high_fever,dizziness,irritability,weakness_in_limbs,altered_sensorium,itching,vomiting,lethargy,back_pain,high_fever,yellowish_skin,receiving_unsterile_injections,loss_of_appetite,abdominal_pain,coma,distention_of_abdomen,sweating,swelled_lymph_nodes,cough,constipation,chest_pain,swollen_legs,depression,weight_loss,vomiting,neck_pain,stiff_neck,headache,scurring,continuous_feel_of_urine,joint_pain,high_fever
24,dischromic _patches,watering_from_eyes,vomiting,yellowing_of_eyes,spotting_ urination,internal_itching,patches_in_throat,blurred_and_distorted_vision,sunken_eyes,family_history,loss_of_balance,visual_disturbances,neck_pain,headache,fatigue,high_fever,high_fever,malaise,headache,dark_urine,fatigue,yellowing_of_eyes,yellowing_of_eyes,stomach_bleeding,history_of_alcohol_consumption,loss_of_appetite,malaise,high_fever,pain_during_bowel_movements,breathlessness,swollen_blood_vessels,irritability,restlessness,fatigue,hip_joint_pain,swelling_joints,spinning_movements,skin_rash,burning_micturition,silver_like_dusting,red_sore_around_nose
25,itching,continuous_sneezing,chest_pain,itching,itching,vomiting,high_fever,obesity,dehydration,mucoid_sputum,headache,acidity,loss_of_balance,weakness_of_one_body_side,weight_loss,sweating,headache,red_spots_over_body,nausea,nausea,lethargy,family_history,joint_pain,joint_pain,fluid_overload,mild_fever,phlegm,breathlessness,bloody_stool,sweating,prominent_veins_on_calf,abnormal_menstruation,sweating,anxiety,swelling_joints,painful_walking,loss_of_balance,pus_filled_pimples,bladder_discomfort,small_dents_in_nails,yellow_crust_ooze
26,skin_rash,shivering,stomach_pain,vomiting,stomach_pain,indigestion,extra_marital_contacts,excessive_hunger,diarrhoea,fatigue,chest_pain,indigestion,back_pain,altered_sensorium,high_fever,headache,loss_of_appetite,skin_rash,abdominal_pain,loss_of_appetite,yellowish_skin,fatigue,vomiting,vomiting,vomiting,yellowing_of_eyes,throat_irritation,sweating,irritation_in_anus,chest_pain,fatigue,weight_gain,diarrhoea,sweating,painful_walking,muscle_weakness,unsteadiness,blackheads,continuous_feel_of_urine,inflammatory_nails,skin_rash
27,nodal_skin_eruptions,chills,acidity,yellowish_skin,burning_micturition,loss_of_appetite,muscle_wasting,increased_appetite,vomiting,cough,dizziness,blurred_and_distorted_vision,weakness_in_limbs,vomiting,yellowish_skin,nausea,mild_fever,chills,diarrhoea,abdominal_pain,dark_urine,yellowish_skin,yellowish_skin,fatigue,yellowish_skin,swelled_lymph_nodes,redness_of_eyes,malaise,constipation,vomiting,cramps,cold_hands_and_feets,fast_heart_rate,headache,joint_pain,stiff_neck,vomiting,skin_rash,bladder_discomfort,skin_rash,high_fever
28,itching,continuous_sneezing,ulcers_on_tongue,loss_of_appetite,spotting_ urination,passage_of_gases,high_fever,polyuria,dehydration,high_fever,loss_of_balance,excessive_hunger,neck_pain,weakness_of_one_body_side,dark_urine,diarrhoea,swelled_lymph_nodes,joint_pain,toxic_look_(typhos),diarrhoea,loss_of_appetite,nausea,dark_urine,high_fever,swelling_of_stomach,malaise,sinus_pressure,phlegm,pain_during_bowel_movements,sweating,obesity,mood_swings,excessive_hunger,nausea,neck_pain,swelling_joints,headache,pus_filled_pimples,foul_smell_of urine,joint_pain,blister
29,skin_rash,shivering,vomiting,abdominal_pain,itching,internal_itching,extra_marital_contacts,fatigue,diarrhoea,breathlessness,lack_of_concentration,stiff_neck,dizziness,altered_sensorium,abdominal_pain,muscle_pain,malaise,vomiting,belly_pain,mild_fever,abdominal_pain,yellowing_of_eyes,nausea,yellowish_skin,distention_of_abdomen,phlegm,runny_nose,chest_pain,pain_in_anal_region,chest_pain,swollen_legs,lethargy,muscle_weakness,blurred_and_distorted_vision,knee_pain,movement_stiffness,nausea,scurring,continuous_feel_of_urine,skin_peeling,yellow_crust_ooze
30,nodal_skin_eruptions,chills,cough,yellowing_of_eyes,skin_rash,vomiting,muscle_wasting,restlessness,vomiting,mucoid_sputum,chest_pain,depression,back_pain,vomiting,itching,chills,red_spots_over_body,fatigue,chills,yellowing_of_eyes,yellow_urine,family_history,loss_of_appetite,dark_urine,history_of_alcohol_consumption,chest_pain,congestion,fast_heart_rate,irritation_in_anus,vomiting,swollen_blood_vessels,dizziness,irritability,excessive_hunger,swelling_joints,painful_walking,loss_of_balance,skin_rash,burning_micturition,small_dents_in_nails,skin_rash
31,dischromic _patches,watering_from_eyes,acidity,itching,burning_micturition,indigestion,patches_in_throat,lethargy,sunken_eyes,fatigue,dizziness,irritability,weakness_in_limbs,headache,vomiting,high_fever,itching,high_fever,vomiting,muscle_pain,yellowing_of_eyes,fatigue,abdominal_pain,nausea,fluid_overload,blood_in_sputum,chest_pain,rusty_sputum,constipation,breathlessness,prominent_veins_on_calf,puffy_face_and_eyes,abnormal_menstruation,drying_and_tingling_lips,painful_walking,muscle_weakness,unsteadiness,blackheads,bladder_discomfort,inflammatory_nails,high_fever
32,itching,continuous_sneezing,ulcers_on_tongue,vomiting,spotting_ urination,loss_of_appetite,high_fever,irregular_sugar_level,diarrhoea,cough,loss_of_balance,visual_disturbances,neck_pain,altered_sensorium,weight_loss,sweating,skin_rash,headache,fatigue,joint_pain,malaise,yellowish_skin,yellowing_of_eyes,loss_of_appetite,vomiting,vomiting,loss_of_smell,fatigue,pain_during_bowel_movements,chest_pain,fatigue,enlarged_thyroid,fatigue,slurred_speech,joint_pain,stiff_neck,vomiting,scurring,continuous_feel_of_urine,skin_rash,blister
33,skin_rash,shivering,vomiting,yellowish_skin,itching,abdominal_pain,muscle_wasting,blurred_and_distorted_vision,vomiting,high_fever,lack_of_concentration,acidity,dizziness,vomiting,high_fever,headache,lethargy,nausea,high_fever,yellowish_skin,receiving_blood_transfusion,nausea,joint_pain,abdominal_pain,yellowish_skin,fatigue,muscle_pain,cough,pain_in_anal_region,vomiting,cramps,brittle_nails,weight_loss,irritability,neck_pain,swelling_joints,headache,skin_rash,burning_micturition,joint_pain,red_sore_around_nose
34,nodal_skin_eruptions,chills,cough,nausea,skin_rash,internal_itching,patches_in_throat,obesity,sunken_eyes,breathlessness,headache,indigestion,loss_of_balance,headache,yellowish_skin,nausea,high_fever,loss_of_appetite,headache,dark_urine,receiving_unsterile_injections,loss_of_appetite,vomiting,yellowing_of_eyes,abdominal_pain,weight_loss,chills,high_fever,bloody_stool,breathlessness,bruising,swollen_extremeties,restlessness,palpitations,knee_pain,movement_stiffness,nausea,pus_filled_pimples,bladder_discomfort,skin_peeling,skin_rash
35,dischromic _patches,watering_from_eyes,chest_pain,abdominal_pain,stomach_pain,vomiting,high_fever,excessive_hunger,dehydration,family_history,dizziness,headache,weakness_in_limbs,weakness_of_one_body_side,dark_urine,diarrhoea,headache,pain_behind_the_eyes,nausea,nausea,itching,family_history,fatigue,acute_liver_failure,distention_of_abdomen,cough,fatigue,breathlessness,constipation,sweating,swollen_legs,depression,sweating,fatigue,hip_joint_pain,muscle_weakness,spinning_movements,blackheads,foul_smell_of urine,silver_like_dusting,high_fever
36,skin_rash,shivering,stomach_pain,yellowing_of_eyes,spotting_ urination,indigestion,extra_marital_contacts,increased_appetite,diarrhoea,fatigue,loss_of_balance,excessive_hunger,neck_pain,altered_sensorium,abdominal_pain,muscle_pain,loss_of_appetite,back_pain,constipation,loss_of_appetite,lethargy,fatigue,dark_urine,coma,history_of_alcohol_consumption,high_fever,cough,sweating,pain_during_bowel_movements,chest_pain,swollen_blood_vessels,irritability,diarrhoea,anxiety,painful_walking,stiff_neck,unsteadiness,scurring,continuous_feel_of_urine,inflammatory_nails,blister
37,nodal_skin_eruptions,chills,ulcers_on_tongue,itching,itching,loss_of_appetite,patches_in_throat,polyuria,vomiting,cough,lack_of_concentration,stiff_neck,dizziness,vomiting,itching,chills,mild_fever,malaise,diarrhoea,abdominal_pain,yellowish_skin,yellowish_skin,nausea,stomach_bleeding,fluid_overload,breathlessness,high_fever,malaise,pain_in_anal_region,vomiting,prominent_veins_on_calf,abnormal_menstruation,fast_heart_rate,sweating,joint_pain,swelling_joints,vomiting,skin_rash,burning_micturition,skin_rash,red_sore_around_nose
38,dischromic _patches,watering_from_eyes,vomiting,vomiting,skin_rash,abdominal_pain,high_fever,fatigue,sunken_eyes,high_fever,headache,depression,loss_of_balance,headache,vomiting,vomiting,swelled_lymph_nodes,muscle_pain,toxic_look_(typhos),diarrhoea,dark_urine,nausea,loss_of_appetite,vomiting,vomiting,sweating,headache,phlegm,bloody_stool,breathlessness,fatigue,weight_gain,excessive_hunger,headache,neck_pain,movement_stiffness,headache,pus_filled_pimples,bladder_discomfort,joint_pain,yellow_crust_ooze
39,itching,continuous_sneezing,cough,yellowish_skin,stomach_pain,passage_of_gases,extra_marital_contacts,weight_loss,dehydration,breathlessness,chest_pain,irritability,back_pain,weakness_of_one_body_side,fatigue,sweating,malaise,skin_rash,belly_pain,mild_fever,loss_of_appetite,loss_of_appetite,abdominal_pain,fatigue,yellowish_skin,loss_of_appetite,swelled_lymph_nodes,chest_pain,irritation_in_anus,sweating,cramps,cold_hands_and_feets,muscle_weakness,nausea,knee_pain,painful_walking,nausea,blackheads,foul_smell_of urine,skin_peeling,skin_rash
40,nodal_skin_eruptions,chills,chest_pain,nausea,burning_micturition,vomiting,muscle_wasting,lethargy,diarrhoea,family_history,loss_of_balance,visual_disturbances,neck_pain,altered_sensorium,high_fever,headache,red_spots_over_body,chills,chills,yellowing_of_eyes,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,high_fever,abdominal_pain,mild_fever,malaise,fast_heart_rate,constipation,chest_pain,bruising,mood_swings,irritability,blurred_and_distorted_vision,hip_joint_pain,muscle_weakness,spinning_movements,scurring,continuous_feel_of_urine,silver_like_dusting,blister
41,dischromic _patches,watering_from_eyes,stomach_pain,loss_of_appetite,itching,indigestion,high_fever,irregular_sugar_level,sunken_eyes,mucoid_sputum,lack_of_concentration,acidity,dizziness,headache,yellowish_skin,nausea,itching,joint_pain,vomiting,muscle_pain,yellow_urine,fatigue,joint_pain,yellowish_skin,swelling_of_stomach,yellowing_of_eyes,phlegm,rusty_sputum,pain_during_bowel_movements,breathlessness,obesity,lethargy,abnormal_menstruation,excessive_hunger,swelling_joints,stiff_neck,loss_of_balance,pus_filled_pimples,bladder_discomfort,small_dents_in_nails,red_sore_around_nose
42,itching,continuous_sneezing,acidity,yellowing_of_eyes,skin_rash,loss_of_appetite,extra_marital_contacts,blurred_and_distorted_vision,dehydration,cough,headache,indigestion,loss_of_balance,weakness_of_one_body_side,dark_urine,diarrhoea,skin_rash,vomiting,fatigue,joint_pain,yellowing_of_eyes,yellowish_skin,vomiting,dark_urine,history_of_alcohol_consumption,swelled_lymph_nodes,throat_irritation,chills,pain_in_anal_region,sweating,swollen_blood_vessels,dizziness,fatigue,drying_and_tingling_lips,joint_pain,swelling_joints,vomiting,blackheads,foul_smell_of urine,skin_rash,yellow_crust_ooze
43,skin_rash,shivering,vomiting,itching,stomach_pain,abdominal_pain,muscle_wasting,obesity,diarrhoea,high_fever,chest_pain,headache,back_pain,altered_sensorium,abdominal_pain,muscle_pain,fatigue,fatigue,high_fever,vomiting,malaise,nausea,fatigue,nausea,fluid_overload,malaise,redness_of_eyes,cough,bloody_stool,chest_pain,prominent_veins_on_calf,puffy_face_and_eyes,mood_swings,slurred_speech,neck_pain,movement_stiffness,headache,scurring,continuous_feel_of_urine,joint_pain,skin_rash
44,dischromic _patches,watering_from_eyes,cough,vomiting,burning_micturition,passage_of_gases,patches_in_throat,excessive_hunger,vomiting,breathlessness,dizziness,blurred_and_distorted_vision,weakness_in_limbs,vomiting,itching,chills,high_fever,high_fever,headache,dark_urine,receiving_blood_transfusion,loss_of_appetite,yellowish_skin,loss_of_appetite,vomiting,phlegm,sinus_pressure,high_fever,irritation_in_anus,vomiting,fatigue,enlarged_thyroid,restlessness,irritability,knee_pain,painful_walking,nausea,skin_rash,burning_micturition,skin_peeling,high_fever
45,itching,continuous_sneezing,chest_pain,yellowish_skin,spotting_ urination,internal_itching,extra_marital_contacts,increased_appetite,dehydration,family_history,loss_of_balance,stiff_neck,neck_pain,weakness_of_one_body_side,vomiting,vomiting,headache,headache,nausea,nausea,receiving_unsterile_injections,yellowing_of_eyes,nausea,abdominal_pain,yellowish_skin,chest_pain,runny_nose,breathlessness,constipation,sweating,cramps,brittle_nails,sweating,palpitations,hip_joint_pain,muscle_weakness,spinning_movements,blackheads,foul_smell_of urine,silver_like_dusting,blister
46,skin_rash,shivering,stomach_pain,nausea,itching,vomiting,muscle_wasting,polyuria,diarrhoea,mucoid_sputum,lack_of_concentration,depression,dizziness,altered_sensorium,fatigue,high_fever,loss_of_appetite,nausea,constipation,loss_of_appetite,itching,family_history,loss_of_appetite,yellowing_of_eyes,abdominal_pain,blood_in_sputum,congestion,sweating,pain_during_bowel_movements,chest_pain,bruising,swollen_extremeties,diarrhoea,vomiting,swelling_joints,stiff_neck,loss_of_balance,scurring,continuous_feel_of_urine,small_dents_in_nails,red_sore_around_nose
47,nodal_skin_eruptions,chills,acidity,loss_of_appetite,stomach_pain,indigestion,patches_in_throat,fatigue,vomiting,fatigue,chest_pain,irritability,loss_of_balance,vomiting,weight_loss,headache,mild_fever,loss_of_appetite,abdominal_pain,abdominal_pain,fatigue,fatigue,abdominal_pain,acute_liver_failure,swelling_of_stomach,chills,chest_pain,malaise,pain_in_anal_region,vomiting,obesity,depression,fast_heart_rate,anxiety,painful_walking,swelling_joints,unsteadiness,skin_rash,burning_micturition,inflammatory_nails,yellow_crust_ooze
